AC005042.4	AC005042.4
AC005062.2	AC005062.2
AC005076.5	AC005076.5
AC005077.12	AC005077.12
AC005077.14	AC005077.14
AC005077.7	AC005077.7
AC005082.12	AC005082.12
AC005083.1	AC005083.1
AC005086.2	AC005086.2
AC005086.3	AC005086.3
AC005094.2	AC005094.2
AC005104.3	AC005104.3
AC005152.2	AC005152.2
AC005152.3	AC005152.3
AC005154.5	AC005154.5
AC005154.6	AC005154.6
AC005154.7	AC005154.7
AC005154.8	AC005154.8
AC005154.9	AC005154.9
AC005161.1	AC005161.1
AC005162.4	AC005162.4
AC005176.2	AC005176.2
AC005176.3	AC005176.3
AC005189.6	AC005189.6
AC005197.2	AC005197.2
AC005220.3	AC005220.3
AC005224.2	AC005224.2
AC005229.5	AC005229.5
AC005229.7	AC005229.7
AC005237.4	AC005237.4
AC005253.2	AC005253.2
AC005253.4	AC005253.4
AC005255.3	AC005255.3
AC005262.2	AC005262.2
AC005262.4	AC005262.4
AC005264.2	AC005264.2
AC005265.1	AC005265.1
AC005281.1	AC005281.1
AC005288.1	AC005288.1
AC005300.5	AC005300.5
AC005304.1	AC005304.1
AC005306.3	AC005306.3
AC005329.7	AC005329.7
AC005330.2	AC005330.2
AC005336.1	AC005336.1
AC005336.4	AC005336.4
AC005336.5	AC005336.5
AC005339.2	AC005339.2
AC005351.1	AC005351.1
AC005355.1	AC005355.1
AC005355.2	AC005355.2
AC005356.1	AC005356.1
AC005375.1	AC005375.1
AC005477.1	AC005477.1
AC005481.5	AC005481.5
AC005487.2	AC005487.2
AC005488.12	AC005488.12
AC005498.3	AC005498.3
AC005498.4	AC005498.4
AC005517.3	AC005517.3
AC005519.4	AC005519.4
AC005522.7	AC005522.7
AC005523.2	AC005523.2
AC005523.3	AC005523.3
AC005532.5	AC005532.5
AC005534.6	AC005534.6
AC005534.8	AC005534.8
AC005534.9	AC005534.9
AC005537.2	AC005537.2
AC005539.2	AC005539.2
AC005540.3	AC005540.3
AC005546.2	AC005546.2
AC005549.3	AC005549.3
AC005550.3	AC005550.3
AC005550.4	AC005550.4
AC005559.2	AC005559.2
AC005562.1	AC005562.1
AC005592.2	AC005592.2
AC005594.3	AC005594.3
AC005597.1	AC005597.1
AC005606.15	AC005606.15
AC005609.1	AC005609.1
AC005614.3	AC005614.3
AC005618.6	AC005618.6
AC005682.5	AC005682.5
AC005682.6	AC005682.6
AC005682.7	AC005682.7
AC005682.8	AC005682.8
AC005702.1	AC005702.1
AC005740.3	AC005740.3
AC005740.4	AC005740.4
AC005740.6	AC005740.6
AC005754.7	AC005754.7
AC005754.8	AC005754.8
AC005757.6	AC005757.6
AC005775.2	AC005775.2
AC005776.1	AC005776.1
AC005785.2	AC005785.2
AC005786.3	AC005786.3
AC005786.5	AC005786.5
AC005786.7	AC005786.7
AC005789.11	AC005789.11
AC005795.1	AC005795.1
AC005795.2	AC005795.2
AC005822.1	AC005822.1
AC005831.1	AC005831.1
AC005884.1	AC005884.1
AC005932.1	AC005932.1
AC005943.4	AC005943.4
AC005943.5	AC005943.5
AC005944.2	AC005944.2
AC005954.3	AC005954.3
AC005954.4	AC005954.4
AC006026.10	AC006026.10
AC006026.9	AC006026.9
AC006028.11	AC006028.11
AC006033.22	AC006033.22
AC006042.6	AC006042.6
AC006042.8	AC006042.8
AC006111.1	AC006111.1
AC006115.3	AC006115.3
AC006116.12	AC006116.12
AC006116.13	AC006116.13
AC006116.15	AC006116.15
AC006116.17	AC006116.17
AC006116.19	AC006116.19
AC006116.20	AC006116.20
AC006116.21	AC006116.21
AC006116.24	AC006116.24
AC006126.3	AC006126.3
AC006128.2	AC006128.2
AC006129.1	AC006129.1
AC006129.2	AC006129.2
AC006129.4	AC006129.4
AC006130.4	AC006130.4
AC006132.1	AC006132.1
AC006159.3	AC006159.3
AC006159.4	AC006159.4
AC006159.5	AC006159.5
AC006160.4	AC006160.4
AC006160.5	AC006160.5
AC006160.8	AC006160.8
AC006262.4	AC006262.4
AC006262.5	AC006262.5
AC006262.6	AC006262.6
AC006273.4	AC006273.4
AC006273.5	AC006273.5
AC006273.7	AC006273.7
AC006277.2	AC006277.2
AC006296.3	AC006296.3
AC006355.3	AC006355.3
AC006369.2	AC006369.2
AC006372.4	AC006372.4
AC006378.3	AC006378.3
AC006445.6	AC006445.6
AC006445.7	AC006445.7
AC006445.8	AC006445.8
AC006449.1	AC006449.1
AC006460.2	AC006460.2
AC006461.2	AC006461.2
AC006465.3	AC006465.3
AC006465.4	AC006465.4
AC006482.1	AC006482.1
AC006483.5	AC006483.5
AC006486.1	AC006486.1
AC006509.7	AC006509.7
AC006538.1	AC006538.1
AC006539.2	AC006539.2
AC006539.3	AC006539.3
AC006547.13	AC006547.13
AC006547.14	AC006547.14
AC006547.15	AC006547.15
AC006547.8	AC006547.8
AC006942.4	AC006942.4
AC006946.15	AC006946.15
AC006953.1	AC006953.1
AC006978.6	AC006978.6
AC006988.1	AC006988.1
AC006994.2	AC006994.2
AC007000.10	AC007000.10
AC007000.11	AC007000.11
AC007000.12	AC007000.12
AC007014.1	AC007014.1
AC007016.3	AC007016.3
AC007036.4	AC007036.4
AC007036.6	AC007036.6
AC007038.7	AC007038.7
AC007040.11	AC007040.11
AC007040.5	AC007040.5
AC007040.6	AC007040.6
AC007040.7	AC007040.7
AC007041.2	AC007041.2
AC007050.17	AC007050.17
AC007050.18	AC007050.18
AC007078.4	AC007078.4
AC007092.1	AC007092.1
AC007163.3	AC007163.3
AC007163.4	AC007163.4
AC007163.6	AC007163.6
AC007182.6	AC007182.6
AC007192.6	AC007192.6
AC007193.10	AC007193.10
AC007193.8	AC007193.8
AC007193.9	AC007193.9
AC007204.2	AC007204.2
AC007228.11	AC007228.11
AC007228.5	AC007228.5
AC007228.9	AC007228.9
AC007229.3	AC007229.3
AC007237.2	AC007237.2
AC007238.1	AC007238.1
AC007246.3	AC007246.3
AC007248.6	AC007248.6
AC007255.7	AC007255.7
AC007255.8	AC007255.8
AC007256.5	AC007256.5
AC007271.3	AC007271.3
AC007272.3	AC007272.3
AC007276.5	AC007276.5
AC007277.3	AC007277.3
AC007278.2	AC007278.2
AC007278.3	AC007278.3
AC007279.2	AC007279.2
AC007283.4	AC007283.4
AC007283.5	AC007283.5
AC007285.6	AC007285.6
AC007285.7	AC007285.7
AC007292.1	AC007292.1
AC007292.3	AC007292.3
AC007292.4	AC007292.4
AC007292.6	AC007292.6
AC007308.6	AC007308.6
AC007318.5	AC007318.5
AC007319.1	AC007319.1
AC007349.7	AC007349.7
AC007362.1	AC007362.1
AC007364.1	AC007364.1
AC007365.1	AC007365.1
AC007365.3	AC007365.3
